,Target samples,Deid. samples
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,2,1
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,1040,683
41,0,0
42,341,247
43,2241,1718
44,580,458
45,0,0
46,0,0
47,0,0
48,0,0
49,16005,15172
50,6141,6071
51,235,249
52,549,590
53,0,0
54,0,0
55,13,16
56,3,4
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,39,66
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,2,6
76,0,0
77,30,101
78,0,0
79,0,0
80,25,101
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,3,22
89,0,0
90,0,0
91,0,0
92,3,34
93,0,0
94,0,0
95,0,0
96,1,22
97,0,0
98,0,0
99,0,1692
