,Target samples,Deid. samples
0,16,0
1,326,3
2,0,0
3,0,0
4,264,10
5,0,0
6,0,0
7,0,0
8,22,2
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,6,1
15,0,0
16,0,0
17,15,3
18,9,2
19,0,0
20,4,1
21,0,0
22,806,223
23,0,0
24,0,0
25,0,0
26,3065,1074
27,0,0
28,1246,496
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,418,271
40,27,18
41,1244,857
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,138,183
57,13,18
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,1,2
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,8,271
98,5,305
99,1,3894
