,INDP,count_target,count_deidentified
50,1070,3,1.0
32,1080,2,0.0
59,1090,3,1.0
15,1170,6,2.0
1,1180,10,1.0
12,1190,11,2.0
49,1270,3,1.0
51,1280,3,1.0
9,1370,18,11.0
60,1490,1,0.0
33,1590,1,1.0
43,1790,1,0.0
61,1870,1,1.0
25,1880,5,4.0
48,1890,3,2.0
17,1990,19,9.0
38,2070,7,1.0
19,2090,8,3.0
35,2170,6,3.0
46,2180,1,0.0
11,2190,9,5.0
53,2270,3,0.0
22,2280,3,1.0
24,2290,23,12.0
5,2370,27,13.0
2,2390,4,2.0
21,2490,8,4.0
13,2570,9,4.0
47,2590,3,0.0
27,2670,16,6.0
54,2680,1,1.0
52,2780,2,0.0
45,2790,2,0.0
8,2870,16,6.0
29,2880,12,5.0
44,2890,4,2.0
57,2970,1,0.0
10,2980,17,5.0
37,3070,2,0.0
18,3080,10,5.0
31,3095,3,0.0
26,3170,5,3.0
34,3180,7,2.0
23,3291,29,12.0
56,3365,2,0.0
16,3370,5,1.0
6,3380,11,5.0
36,3390,10,4.0
55,3470,2,0.0
42,3490,8,1.0
7,3570,33,16.0
14,3580,124,48.0
41,3590,2,2.0
40,3670,2,0.0
58,3680,1,1.0
62,3770,1,0.0
0,3790,3,1.0
28,3875,8,2.0
3,3895,13,2.0
30,3960,13,5.0
39,3970,2,1.0
4,3980,8,4.0
20,3990,12,5.0
