,INDP,count_target,count_deidentified
12,4670,25,1.0
22,4680,3,0.0
6,4690,9,3.0
18,4770,14,2.0
33,4780,3,4.0
20,4795,24,5.0
15,4870,27,5.0
16,4880,7,6.0
31,4890,4,6.0
5,4971,79,8.0
27,4972,7,8.0
25,4980,11,10.0
10,4990,11,13.0
13,5070,32,13.0
7,5080,15,9.0
30,5090,9,13.0
1,5170,48,4.0
14,5180,6,6.0
8,5190,10,7.0
3,5275,18,9.0
29,5295,4,6.0
4,5370,5,3.0
24,5381,10,9.0
11,5391,16,8.0
32,5470,2,6.0
23,5480,7,6.0
2,5490,9,6.0
21,5570,8,11.0
17,5580,15,5.0
9,5593,26,7.0
26,5670,3,8.0
28,5680,6,7.0
19,5690,1,7.0
0,5790,19,10.0
