,INDP,count_target,count_deidentified
3,1070,4,1.0
26,1080,2,0.0
29,1090,2,0.0
37,1170,1,1.0
5,1180,13,0.0
48,1190,1,3.0
18,1270,4,3.0
9,1280,9,1.0
23,1290,2,1.0
27,1370,6,3.0
28,1390,1,4.0
34,1590,1,0.0
13,1691,3,1.0
22,1790,5,0.0
47,1870,1,0.0
43,1880,1,1.0
30,1990,8,0.0
7,2090,2,0.0
40,2170,1,0.0
38,2180,1,0.0
46,2190,4,3.0
24,2270,1,1.0
45,2280,1,1.0
20,2290,3,3.0
12,2370,10,0.0
31,2380,5,1.0
19,2390,2,1.0
33,2490,1,2.0
21,2570,1,0.0
15,2590,1,1.0
10,2670,6,0.0
39,2680,1,2.0
1,2770,3,3.0
4,2870,3,1.0
6,2880,3,0.0
44,2890,2,0.0
16,2980,1,1.0
32,3070,6,0.0
0,3291,11,0.0
17,3370,2,1.0
42,3470,1,0.0
36,3490,6,2.0
2,3570,18,0.0
14,3580,4,4.0
35,3875,3,1.0
25,3895,4,0.0
8,3960,6,4.0
41,3980,5,2.0
11,3990,11,3.0
