,INDP,count_target,count_deidentified
8,1070,1,0.0
18,1080,1,0.0
7,1180,2,0.0
26,1370,3,0.0
33,1490,1,0.0
14,1691,3,0.0
25,1770,2,0.0
16,1870,2,1.0
30,1990,1,1.0
31,2170,1,0.0
5,2190,16,2.0
10,2270,3,0.0
34,2280,1,0.0
3,2290,5,1.0
32,2370,1,1.0
24,2470,1,0.0
29,2570,1,0.0
13,2670,1,1.0
27,2880,7,0.0
4,2980,2,0.0
1,3095,1,1.0
9,3291,9,0.0
12,3365,5,0.0
17,3370,2,1.0
2,3380,19,1.0
6,3390,15,0.0
19,3490,6,0.0
21,3570,3,0.0
0,3580,16,0.0
20,3590,1,0.0
22,3875,1,0.0
15,3895,4,0.0
11,3960,13,0.0
35,3970,1,1.0
23,3980,3,1.0
28,3990,4,0.0
