,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
0,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
1,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
2,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
3,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
4,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
5,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
6,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
7,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
8,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
9,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
10,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
11,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
12,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
13,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
14,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
15,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
16,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
17,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
18,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
19,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
20,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
21,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
22,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
23,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
24,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
25,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
26,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
27,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
28,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
29,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
30,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
31,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
32,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
33,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
34,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
35,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
36,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
37,0.0,1.0,N,1.0,1.0,1.0,N,2.0,N,N
38,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
39,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
40,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
41,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
42,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
43,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
44,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
45,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
46,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
47,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
48,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
49,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
50,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
51,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
52,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
53,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
54,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
55,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
56,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
57,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
58,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
59,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
60,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
61,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
62,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
63,0.0,1.0,N,1.0,1.0,2.0,N,2.0,N,N
64,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
65,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
66,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
67,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
68,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
69,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
70,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
71,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
72,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
73,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
74,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
75,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
76,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
77,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
78,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
79,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
80,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
81,0.0,1.0,N,2.0,1.0,1.0,N,2.0,N,N
