,Target samples,Deid. samples
0,27,0
1,0,0
2,0,0
3,34,1
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,10,1
10,0,0
11,0,0
12,0,0
13,0,0
14,6,1
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,54,15
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,26,10
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,588,373
40,0,0
41,0,0
42,0,0
43,888,674
44,576,459
45,0,0
46,61,53
47,0,0
48,12,11
49,710,690
50,0,0
51,1707,1751
52,0,0
53,1098,1252
54,1706,2015
55,0,0
56,0,0
57,76,106
58,0,0
59,0,0
60,0,0
61,20,31
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,24,73
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,11,46
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,72
